Date(UTC),UnixTimeStamp,Block Count,Block Size,Block Time,Month,Year,,,,,,,
6/10/21,1623283200,17280,1041,5,June,2021,,,,,,,
6/11/21,1623369600,17280,1163,5,June,2021,,,,,,,
6/12/21,1623456000,17279,1193,5,June,2021,,,,,,,
6/13/21,1623542400,17280,1093,5,June,2021,,,,,,,
6/14/21,1623628800,17280,1121,5,June,2021,,,,,,,
6/15/21,1623715200,17280,1512,5,June,2021,,,,,,,
6/16/21,1623801600,17279,1182,5,June,2021,,,,,,,
6/17/21,1623888000,17280,1201,5,June,2021,,,,,,,
6/18/21,1623974400,17279,1243,5,June,2021,,,,,,,
6/19/21,1624060800,17280,1040,5,June,2021,,,,,,,
6/20/21,1624147200,17280,1058,5,June,2021,,,,,,,
6/21/21,1624233600,17280,1143,5,June,2021,,,,,,,
6/22/21,1624320000,17279,1685,5,June,2021,,,,,,,
6/23/21,1624406400,17280,1240,5,June,2021,,,,,,,
6/24/21,1624492800,17278,1252,5,June,2021,,,,,,,
6/25/21,1624579200,17279,1507,5,June,2021,,,,,,,
6/26/21,1624665600,17280,1637,5,June,2021,,,,,,,
6/27/21,1624752000,17280,1430,5,June,2021,,,,,,,
6/28/21,1624838400,17280,1354,5,June,2021,,,,,,,
6/29/21,1624924800,17280,1203,5,June,2021,,,,,,,
6/30/21,1625011200,17280,3229,5,June,2021,,,,,,,
7/1/21,1625097600,17280,3033,5,July,2021,,,,,,,
